audit_id,source_reference,hook_summary,first_frame,motion_0_3s,camera_behavior,product_timing,attention_mechanism,applicable_category,generation_risk,decision,reasoning,reusable_pattern
H01,Reference card: Air Fryer Demo; preview slug: air_fryer_demo,"Air Fryer Demo","Air fryer and food setup are readable immediately","Food/product demonstration begins immediately; the opening uses a quick placement or reveal beat","Product-focused commercial framing with a close demonstration view","Product present from the opening","Immediate product utility plus visible motion","consumer electronics / kitchen","Food geometry and appliance controls may deform; food motion can look synthetic",Revise,"Strong product clarity and easy SKU substitution, but a generic demo needs a sharper first-second interruption.",product_present + motion_interrupt
H02,Reference card: Cat Water Fountain Routine; preview slug: cat_water_fountain_routine,"Cat Water Fountain Routine","Pet and fountain context establish the scene","Cat interaction creates movement toward or around the fountain during the opening","Contextual medium shot prioritizing the pet-product relationship","Product present or identifiable in the setup","Animal behavior and interaction create curiosity","pet","Animal anatomy and inconsistent interaction timing",Keep,"The routine is category-native and adds human/animal context without requiring a complicated product reveal.",interaction_first
H03,Reference card: Desk Lamp Transformation; preview slug: desk_lamp_transformation,"Desk Lamp Transformation","Desk or lamp setup presents a before state","Lighting or scene state changes quickly to show a transformation","Mostly locked product shot with a controlled state change","Product present before the transformation","Visual contrast between dull and improved state","consumer electronics / home","Lighting continuity, shadows, and object identity can drift",Keep,"The transformation is legible within three seconds and reusable across desk-lighting SKUs.",transformation_first
H04,Reference card: Pet Hair Remover Pain Hook; preview slug: pet_hair_remover_pain,"Pet Hair Remover Pain Hook","Visible pet-hair problem or messy surface precedes the solution","Problem surface is emphasized first; remover enters or acts shortly afterward","Close problem-detail framing, then a short product/action move","Product enters after the problem is established","Recognizable pain point creates an unanswered question","pet / home","Hair strands, hands, and surface texture are difficult for video models",Revise,"Problem-first structure is valuable, but the product must arrive early enough to avoid an unbranded cleaning clip.",problem_first + product_enters_late
H05,Reference card: Robot Vacuum Pain Hook; preview slug: robot_vacuum_pain,"Robot Vacuum Pain Hook","Floor mess or cleaning frustration is the opening state","Mess is revealed, then the robot vacuum moves into the scene or begins a cleaning action","Low-angle floor framing with a short tracking or push movement","Product enters after the pain cue","Before/after expectation and visible autonomous motion","home appliances","Navigation, object avoidance, and floor geometry can fail",Revise,"The pain cue is strong, but the first three seconds need a single measurable action rather than a broad cleaning story.",problem_first + motion_interrupt
H06,Reference card: Resistance Bands Demo; preview slug: resistance_bands_demo,"Resistance Bands Demo","Bands and workout context are visible at the start","Band is stretched or pulled to create immediate tension and motion","Static or lightly handheld exercise framing","Product present from the opening","Elastic tension is a simple physical interruption","sporting goods","Band endpoints, hands, and body proportions may warp",Keep,"The physical action is immediate, category-relevant, and adaptable to many band sets.",interaction_first + motion_interrupt
H07,Reference card: Wireless Charger Demo; preview slug: wireless_charger_demo,"Wireless Charger Demo","Phone and charger setup are visible","Phone is placed, lifted, or aligned with the charging surface","Close tabletop framing with a short push-in or placement move","Product present from the opening","Satisfying alignment and functional proof","consumer electronics","Phone screen text, charging indicators, and alignment may be inconsistent",Keep,"A clear one-action demonstration is highly reusable, provided the hook avoids relying on unreadable UI text.",product_present + proof_first
H08,Reference card: Board Game Scenario; preview slug: board_game_scenario,"Board Game Scenario","Game components and a social play context establish stakes","A piece, card, or hand action changes the board state in the opening","Overhead or tabletop framing with a quick interaction","Product present from the opening","Anticipation of an outcome encourages the viewer to keep watching","toys / games","Small pieces, readable cards, and hand continuity are high-risk",Revise,"The scenario is more distinctive than a package shot, but it must avoid readable-card dependence and too many simultaneous actions.",interaction_first + suspense
H09,Reference card: Portable Blender Demo; preview slug: portable_blender_demo,"Portable Blender Demo","Portable blender and ingredients are immediately identifiable","Ingredient drop, lid action, or visible blending begins quickly","Close product framing with a short action push-in","Product present from the opening","Physical transformation from ingredients to motion","consumer electronics / kitchen","Liquid simulation, ingredient count, and lid geometry may drift",Keep,"The action is visually obvious and can be parameterized by ingredient and product form.",product_present + transformation_first
H10,Reference card: Tablet Stand Demo; preview slug: tablet_stand_demo,"Tablet Stand Demo","Tablet and stand are shown in a desk setup","Tablet is placed, adjusted, or rotated to demonstrate the stand","Controlled tabletop shot with a short pivot or push-in","Product present from the opening","Mechanical adjustment provides a satisfying proof moment","consumer electronics / office","Screen content and hinge mechanics may deform",Revise,"The functional proof is reusable, but screen content must be excluded from the attention mechanism and negative constraints.",product_present + proof_first
